,directorio,secuencia_p,HHincome,fex,hhsize
2583,7312190,1,5200000.0,163.9379425048828,4
2587,7312197,1,1300000.0,124.34374237060547,4
2610,7312225,1,3952916.5,143.50405883789062,4
2637,7312256,1,1700000.0,158.97012329101562,4
2656,7312278,1,2291666.75,85.86859130859375,4
2677,7312301,1,6285088.5,124.1954116821289,4
2687,7312318,1,4862416.5,123.84407043457031,4
2693,7312322,1,5229667.0,149.0345001220703,4
2723,7312355,1,5814000.0,120.02143859863281,4
2724,7312356,1,1722766.625,113.49510955810547,4
2731,7312363,1,2934333.25,163.66322326660156,4
2768,7312408,1,4804672.0,63.184383392333984,4
2779,7312420,1,3643182.75,31.037641525268555,4
2882,7312549,1,2400000.0,96.15866088867188,4
2888,7312560,1,3743182.5,52.68023681640625,4
2928,7312613,2,2400666.75,213.08314514160156,4
2943,7312630,1,4595000.0,96.75048065185547,4
2990,7312684,1,7750000.0,77.86174011230469,4
2997,7312692,1,3500000.0,71.58663940429688,4
3002,7312697,1,3280000.0,270.3863525390625,4
3014,7312709,1,1140000.0,42.17726135253906,4
3020,7312715,1,2235000.0,37.155357360839844,4
3025,7312720,1,3003010.75,61.91324234008789,4
3037,7312736,1,3850000.0,59.433143615722656,4
3065,7312765,1,2840000.0,62.63177490234375,4
3081,7312786,1,5500000.0,81.39722442626953,4
3092,7312800,1,2215000.0,75.15812683105469,4
3097,7312806,1,2200000.0,67.56108856201172,4
3101,7312811,1,2500000.0,59.11079406738281,4
3104,7312814,1,3182333.5,262.7621765136719,4
3118,7312835,1,3933333.5,64.42797088623047,4
3130,7312851,1,2600000.0,38.16843032836914,4
3132,7312853,1,4098333.25,451.82684326171875,4
3138,7312859,1,4900000.0,60.336177825927734,4
3140,7312862,1,3120000.0,101.68610382080078,4
3151,7312888,1,1800000.0,48.145896911621094,4
3178,7312923,1,1500000.0,196.951904296875,4
3179,7312925,1,3151010.75,177.75747680664062,4
3187,7312934,1,1340000.0,246.4389190673828,4
3189,7312935,2,3900000.0,143.5346221923828,4
3201,7312945,1,470000.0,102.11764526367188,4
3202,7312946,1,2108750.0,95.15404510498047,4
3209,7312953,1,3078838.5,110.97189331054688,4
3210,7312954,1,7582000.0,118.60240936279297,4
3213,7312958,1,8942200.0,124.8104476928711,4
3221,7312965,1,7225000.0,91.73094940185547,4
3249,7312982,1,1250000.0,79.76087188720703,4
3268,7313000,1,3717200.0,114.01349639892578,4
3269,7313001,1,3844760.5,105.02191925048828,4
3275,7313005,1,3300333.5,108.20864868164062,4
3279,7313009,1,2144166.5,95.8772201538086,4
3285,7313015,1,3200000.0,112.41630554199219,4
3287,7313017,1,4000000.0,125.85824584960938,4
3289,7313019,1,2401010.75,126.41793823242188,4
3292,7313022,1,2380000.0,92.86026000976562,4
3300,7313030,1,3183838.75,126.97763061523438,4
3309,7313039,1,7800000.0,121.6337661743164,4
3310,7313040,1,2759849.5,132.60403442382812,4
3314,7313044,1,2250000.0,123.27210235595703,4
3318,7313048,1,3960000.0,513.360107421875,4
3343,7313073,1,4000000.0,288.0436096191406,4
3354,7313084,1,2400000.0,143.8424530029297,4
3362,7313093,1,5156666.5,117.69076538085938,4
3363,7313094,1,2670000.0,109.59375,4
3365,7313096,1,3700000.0,118.60240936279297,4
3366,7313097,1,1800000.0,288.0436096191406,4
3389,7313119,1,2400000.0,288.0436096191406,4
3409,7313163,1,2190000.0,68.32479095458984,4
3419,7313173,1,1750000.0,26.3756160736084,4
3423,7313179,1,2617172.0,15.64480209350586,4
3426,7313182,1,2300000.0,19.393310546875,4
3427,7313183,1,2643838.75,82.77764129638672,4
3434,7313190,1,3271721.0,45.700313568115234,4
3436,7313192,1,420000.0,22.311304092407227,4
3438,7313194,1,2183333.25,55.574073791503906,4
3443,7313199,1,3500000.0,52.78262710571289,4
3444,7313200,1,1592172.0,48.288455963134766,4
3457,7313226,1,668000.0,32.188167572021484,4
3467,7313237,1,5133333.0,60.309288024902344,4
3485,7313259,1,3900000.0,47.85627365112305,4
3486,7313260,1,1857272.625,37.26806640625,4
3501,7313275,1,1320000.0,38.67298889160156,4
3504,7313278,1,2050000.0,41.560211181640625,4
3507,7313281,1,1330000.0,39.02903747558594,4
3508,7313282,1,2318000.0,57.0935173034668,4
3512,7313287,1,2435644.5,39.97494888305664,4
3514,7313289,1,3000000.0,31.37843132019043,4
3527,7313307,1,1716666.625,43.029319763183594,4
3529,7313310,1,2300000.0,34.95976638793945,4
3547,7313338,1,9900000.0,44.47181701660156,4
3592,7313393,1,2300000.0,99.6905746459961,4
3595,7313397,1,4225333.5,116.0234375,4
3612,7313414,1,3620000.0,124.5774917602539,4
3629,7313433,1,3000000.0,48.70113754272461,4
3641,7313449,1,3908333.25,59.863258361816406,4
3651,7313459,1,7000000.0,90.26314544677734,4
3659,7313470,1,3634333.5,101.43991088867188,4
3677,7313495,1,1919166.75,175.54425048828125,4
3678,7313496,1,100000.0,282.8992614746094,4
3694,7313516,1,1291666.75,525.8540649414062,4
3709,7313549,1,6800000.0,170.04739379882812,4
3715,7313555,1,3051010.75,334.22894287109375,4
3717,7313557,1,1804838.625,276.84869384765625,4
3734,7313577,1,7243516.0,303.1997375488281,4
3745,7313590,1,1482712.0,339.8638000488281,4
3766,7313619,1,1298333.375,236.17694091796875,4
3779,7313637,1,1210505.375,500.5735168457031,4
3782,7313640,1,3191666.75,321.9785461425781,4
